City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
304,guerrero negro,27.9769,-114.0611,19.83,81,3,6.63,MX,1694846557
305,palu,-0.8917,119.8707,29.83,76,37,1.46,ID,1694846557
306,luau,-10.7073,22.2247,27.72,26,0,2.8,AO,1694846558
307,barra de santo antonio,-9.4047,-35.5072,23.6,79,100,3.58,BR,1694846558
308,karkira,36.9292,6.5856,31.02,35,8,3.23,DZ,1694846558
309,margate,51.3813,1.3862,18.16,94,100,0.45,GB,1694846558
310,tangalle,6.024,80.7911,31.09,70,100,5.38,LK,1694846558
311,melfort,52.8667,-104.6177,8.07,87,94,3.6,CA,1694846559
312,lensk,60.7253,114.9278,12.6,33,8,3.53,RU,1694846559
313,rikaze,29.25,88.8833,22.05,18,3,1.84,CN,1694846559
314,enriquillo,17.9,-71.2333,25.69,74,66,2.81,DO,1694846559
315,wajir,1.7471,40.0573,26.98,61,40,3.6,KE,1694846559
316,ust'-ilimsk,58.0006,102.6619,18.72,41,8,1.84,RU,1694846560
317,corfu,39.62,19.9197,23.23,94,40,0.0,GR,1694846560
318,saint-joseph,-21.3667,55.6167,26.21,68,25,4.99,RE,1694846560
319,cassilandia,-19.1133,-51.7342,20.58,45,0,1.48,BR,1694846510
320,antonio enes,-16.2325,39.9086,28.73,55,9,6.11,MZ,1694846561
321,whitby,54.4877,-0.615,15.08,95,100,1.34,GB,1694846561
322,abepura,-2.6333,140.5833,29.45,66,20,3.09,ID,1694846561
323,nyagan,62.1406,65.3936,20.41,46,31,1.7,RU,1694846561
324,avarua,-21.2078,-159.775,24.03,78,97,4.63,CK,1694846561
325,san antonio de pale,-1.4014,5.6325,24.74,80,68,4.42,GQ,1694846562
326,peterhead,57.5058,-1.7981,10.22,80,100,6.2,GB,1694846562
327,midrand,-25.9636,28.1378,22.27,22,5,4.1,ZA,1694846562
328,itamaraca,-7.7478,-34.8256,26.03,82,100,3.88,BR,1694846562
329,custodia,-8.0875,-37.6431,17.69,90,82,2.8,BR,1694846562
330,merizo village,13.2658,144.6691,31.31,84,100,4.86,GU,1694846563
331,carnarvon,-24.8667,113.6333,22.89,59,0,7.9,AU,1694846563
332,ecoporanga,-18.3733,-40.8306,19.99,86,100,2.9,BR,1694846563
333,port jervis,41.3751,-74.6927,13.62,92,100,2.7,US,1694846563
334,vegueta,-11.0231,-77.6431,17.92,88,83,2.47,PE,1694846564
335,mikhaylovskoye,51.8239,79.7172,18.68,55,93,2.93,RU,1694846564
336,vangaindrano,-23.35,47.6,24.53,69,27,3.88,MG,1694846564
337,tionk essil,12.7856,-16.5217,27.98,86,100,2.17,SN,1694846564
338,karratha,-20.7377,116.8463,32.33,24,0,5.48,AU,1694846297
339,badiyah,22.45,58.8,34.33,40,40,2.02,OM,1694846565
340,codrington,-38.2667,141.9667,17.16,69,0,7.84,AU,1694846565
341,lautoka,-17.6167,177.4667,26.92,78,75,3.09,FJ,1694846565
342,fort bragg,35.139,-79.006,14.33,91,0,0.0,US,1694846381
343,la grande,45.3246,-118.0877,18.32,51,0,1.43,US,1694846566
344,kratie,12.4881,106.0188,28.75,85,100,2.92,KH,1694846566
345,morehead city,34.7229,-76.726,20.55,84,0,0.0,US,1694846566
346,saipan,15.1355,145.701,30.39,79,40,6.17,MP,1694846567
347,lahat,-3.8,103.5333,36.89,30,89,2.57,ID,1694846567
348,dunedin,-45.8742,170.5036,13.22,68,78,0.45,NZ,1694846567
349,madimba,-10.4,40.3333,27.49,64,41,3.43,TZ,1694846567
350,verkhnevilyuysk,63.4453,120.3167,6.52,59,100,4.74,RU,1694846567
351,victoria point,-27.5833,153.3,24.63,63,0,0.89,AU,1694846568
352,grand haven,43.0631,-86.2284,14.13,80,0,3.09,US,1694846568
353,juticalpa,14.65,-86.2,21.31,94,64,0.62,HN,1694846295
354,kazaure,12.6513,8.4162,25.98,63,100,3.24,NG,1694846568
355,nova olinda do norte,-3.8881,-59.0942,24.55,49,94,1.48,BR,1694846568
356,sinabang,2.4803,96.3801,27.39,83,96,1.4,ID,1694846569
357,plastun,44.7561,136.2939,22.21,66,94,2.06,RU,1694846569
358,chernyshevskiy,63.0128,112.4714,7.78,36,12,2.93,RU,1694846569
359,colares,38.7992,-9.4469,20.74,88,75,6.26,PT,1694846569
360,taguatinga,-12.3857,-46.5711,25.92,43,8,2.62,BR,1694846570
361,mar del plata,-38.0023,-57.5575,12.27,82,0,0.0,AR,1694846570
362,corowa,-36.0333,146.3833,20.6,67,0,1.94,AU,1694846570
363,sevsk,52.1491,34.4926,17.13,65,10,3.68,RU,1694846570
364,arkhangel'sk,64.5401,40.5433,10.78,61,0,0.81,RU,1694846570
365,salekhard,66.53,66.6019,9.01,71,100,6.74,RU,1694846571
366,alice springs,-23.7,133.8833,31.75,9,0,4.12,AU,1694846571
367,sampit,-2.5333,112.95,33.93,43,98,2.26,ID,1694846571
368,gargalianoi,37.0667,21.6333,24.09,55,22,2.41,GR,1694846572
369,el granada,37.5027,-122.4694,18.45,90,75,5.14,US,1694846572
370,kongolo,-5.3833,27.0,30.97,38,17,1.56,CD,1694846572
371,cabinda,-5.55,12.2,24.08,94,75,0.0,AO,1694846572
372,nantucket,41.2835,-70.0995,16.08,94,100,15.95,US,1694846572
373,ofunato,39.0717,141.7167,27.15,74,3,1.32,JP,1694846361
374,susuman,62.7833,148.1667,8.35,51,73,2.36,RU,1694846573
375,luderitz,-26.6481,15.1594,14.63,69,31,9.88,NA,1694846573
376,lobujya,27.95,86.8167,5.49,68,24,3.23,NP,1694846573
377,dudinka,69.4058,86.1778,2.57,96,100,5.44,RU,1694846573
378,tsiombe,-25.3,45.4833,31.34,32,0,1.72,MG,1694846574
379,glace bay,46.1969,-59.957,17.87,96,100,5.66,CA,1694846574
380,klyuchi,52.2667,79.1667,19.07,53,97,3.38,RU,1694846574
381,fale old settlement,-9.3852,-171.2468,28.53,77,39,4.37,TK,1694846574
382,petukhovo,55.0692,67.9019,18.63,47,100,1.03,RU,1694846574
383,ailuk,10.2197,169.9797,28.86,80,98,7.7,MH,1694846575
384,brasileia,-11.0161,-68.7481,21.92,78,21,1.14,BR,1694846575
385,puerto aysen,-45.4,-72.7,4.01,100,100,1.35,CL,1694846575
